,,,https://salb.un.org
Afghanistan,afg,,Afghan Geodesy &amp; Cartography Head Office
Albania,alb,,State Authority for Geospatial Information (Autoriteti Shtetëror i Informacionit Gjeohapësinor)
Algeria,dza,,Institut National de Cartographie et de Télédétection
Andorra,and,,"Ministeri d'Urbanisme i Ordenament Territorial, Govern d'Andorra"
Angola,ago,,Angolan Geographical and Cadastral Institute
Antigua and Barbuda,atg,,Surveys Division
Argentina,arg,,Instituto Geográfico Nacional de la República Argentina
Armenia,arm,,The State Committee of the Real Property Cadastre of the Government of the Republic of Armenia
Australia,aus,,Geoscience Australia
Austria,aut,,Federal Office of Metrology and Surveying (Bundesamt für Eich und Vermessungswesen)
Azerbaijan,aze,,State Agency for Geodesy and Cartography
Bahamas (the),bhs,,Department of Lands and Surveys
Bahrain,bhr,,Survey and Land Registration Bureau 
Bangladesh,bgd,,Survey of Bangladesh
Barbados,brb,,Lands and Surveys Department
Belarus,blr,,The State Committee on Property of the Republic of Belarus (Дзяржаўны камітэт па маемасці Рэспублікі Беларусь)
Belgium,bel,,National Geographic Institute (Nationaal Geografisch Instituut; Institut Géograhique National) 
Belize,blz,,Lands and Surveys Department
Benin,ben, 2000-01-01 to (2021-09-30),Institut Géographique National du Bénin,https://salb.un.org/en/data/ben,https://geoportal.un.org/arcgis/sharing/rest/content/items/449b4ccd0a6e40da8ba5c9e1820a1d34/data
Bhutan,btn,,Department of Survey and Land Records
Bolivia (Plurinational State of),bol,,Instituto Geográfico Militar
Bosnia and Herzegovina,bih,,Federal Administration for Geodetic and Real Property Affairs (Federalna uprava za geodetske i imovinsko-pravne poslove)
Botswana,bwa,,Department of Surveys and Mapping
Brazil,bra,,Instituto Brasileiro de Geografia e Estatística
Brunei Darussalam,brn,,Survey Department
Bulgaria,bgr,,"Geodesy, Cartography and Cadastre Agency"
Burkina Faso,bfa,,Institut Géographique du Burkina
Burundi,bdi, 2015-03-26 to (2021-09-16),Institut Géographique du Burundi,https://salb.un.org/en/data/bdi,https://geoportal.un.org/arcgis/sharing/rest/content/items/582c982229dc43c69e15d483c56dfd8f/data
Cabo Verde,cpv,
Cambodia,khm, 1998-01-01 to 2014-03-30,"Geographic Department, Ministry of Land Management, Urban Planning and Construction",https://geoportal.un.org/arcgis/sharing/rest/content/items/b00d67998d6e41e8b889b48a8634ec62/data
Cameroon,cmr, 2000-01-01 to (2021-02-22),Institut National de Cartographie ,https://salb.un.org/en/data/cmr,https://geoportal.un.org/arcgis/sharing/rest/content/items/996fc99c95b942eaaad92601e0617830/data
Canada,can, 2016-01-01 to (2018-05-23),"Canada Centre for Mapping and Earth Observation, Strategic Policy and Results Sector, Natural Resources Canada",https://salb.un.org/en/data/can,https://geoportal.un.org/arcgis/sharing/rest/content/items/d18df32175734422b400d780fcb87162/data
